id;name;phone;email;address_line;city;postal_code;country;url;lon;lat
1;Isle;"+905380473706";"54\hx@_.+d|QHK";backing up Integrated mobile;North Alexaside;18122;Ethiopia;http://brittany.net;-132;-84
2;JBOD Martinique system engine;"+905616430605";"1)S1@wJR=.>[C";encompassing virtual platforms;West Darwinhaven;6455;Peru;https://jerrold.org;37;-21
3;Extensions Kentucky;"+908686452221";":T*@W).%rF";Solomon Islands Dollar Gorgeous Plastic Sausages monitor;Laverneberg;78778;Isle of Man;https://grover.biz;139;23
4;Personal Loan Account Glen;"+907847816766";"z<BKE@fG1.{";Coordinator;West Dejah;3375;Mongolia;http://antonetta.biz;2;2
5;product harness Health;"+908192581546";"f@M//D#l.k#31{";Handmade Granite Computer Associate;Lake Franz;43265;Bermuda;https://malcolm.biz;-93;45
6;generate New Mexico;"+901053224947";"7@S3wN1T.ICg";copy GB Cotton;North Leonorton;24437;Republic of Korea;https://evangeline.biz;-127;42
7;Buckinghamshire cyan;"+901232480042";";7`o@+c#*nY.yQ:~H";sky blue copying Cambridgeshire;Nolanbury;54610;South Georgia and th;https://emery.info;-18;-72
8;Generic bandwidth;"+901551451585";"6!^;@u9d*xs.P";Wyoming Home Loan Account District;Jonchester;83149;British Indian Ocean;https://efrain.name;-146;25
9;Grocery Ameliorated deposit;"+902433182295";"fhEypO@r.b-V$";French Guiana;Port Frederik;49529;Hungary;https://jean.com;24;-11
10;Licensed array Assurance;"+909612399273";")@;f?A(.'./?NU";Cambridgeshire;Lake Myron;55896;Brunei Darussalam;http://yoshiko.net;-175;-33
