id;title;message;type;created_at;url_image;is_read
1;Rustic bleeding-edge;green 1080p Metal;Campaign;2020-02-15T19:13:50;Granite;true
2;copying copying vertical;Rubber invoice Directives;Emergency;2020-02-16T06:19:48;synergies synthesizing invoice;false
3;Forges;workforce Officer solutions;Campaign;2020-02-16T06:12:37;6th generation Corporate IB;true
4;Avon Terrace;interface;Campaign;2020-02-15T19:08:49;Table;true
5;Usability 3rd generation;generate Spur Gorgeous Steel Bacon;Info;2020-02-15T22:48:39;navigate mobile;false
6;Kenya back up;withdrawal Pataca Checking Account;Emergency;2020-02-16T12:15:17;Metal Lithuanian Litas;true
7;Money Market Account Global withdrawal;Fantastic European Monetary Unit (E.M.U.-6);Info;2020-02-16T03:24:01;HDD Malaysian Ringgit Gorgeous Wooden Car;true
8;utilize override quantify;Chips Avon AGP;Emergency;2020-02-16T08:56:50;New York Grocery Incredible;false
9;Clothing;matrix;Emergency;2020-02-16T12:10:23;Handcrafted action-items ivory;false
10;Directives;Tennessee visualize;Emergency;2020-02-16T10:52:06;Afghani Specialist;false
