id;boarding_time_of_arrival;landing_time_of_arrival;boarding_time_of_return;landing_time_of_return;enabled;student_id;travel_path_id
1;2020-02-16T04:33:17;2020-02-16T13:45:55;2020-02-16T02:43:35;2020-02-16T05:14:05;false;1;1
2;2020-02-15T22:37:44;2020-02-16T02:12:28;2020-02-16T00:27:50;2020-02-16T05:43:38;true;2;2
3;2020-02-16T00:50:34;2020-02-15T16:45:59;2020-02-15T18:10:41;2020-02-15T19:11:38;true;3;3
4;2020-02-16T01:50:44;2020-02-16T02:07:58;2020-02-16T01:09:42;2020-02-16T05:22:53;false;4;4
5;2020-02-16T05:39:57;2020-02-16T00:51:58;2020-02-16T08:58:37;2020-02-16T08:35:46;true;5;5
6;2020-02-15T19:01:19;2020-02-16T10:01:30;2020-02-16T08:30:37;2020-02-15T19:56:26;false;6;6
7;2020-02-15T18:23:45;2020-02-16T01:23:29;2020-02-16T07:22:58;2020-02-16T01:19:54;true;7;7
8;2020-02-16T06:58:10;2020-02-16T06:44:43;2020-02-15T23:09:16;2020-02-16T08:01:49;true;8;8
9;2020-02-16T11:51:41;2020-02-16T11:40:54;2020-02-16T08:56:15;2020-02-15T23:11:53;true;9;9
10;2020-02-16T03:54:37;2020-02-16T00:11:57;2020-02-16T05:44:28;2020-02-15T22:36:48;true;10;10
