id;name;departure_time;depart_address;depart_lon;depart_lat;arrival_time;arrival_address;arrival_lon;arrival_lat;start_date;end_date;enabled;company_id;employee_id
1;Auto Loan Account Reactive;2020-02-16T14:47:19;primary black;171;-3;2020-02-16T02:46:29;Generic Soft Pants microchip Chief;73;-4;2020-02-16T03:13:18;2020-02-15T18:04:05;false;1;2
2;proactive;2020-02-16T14:06:42;Bedfordshire Plastic;120;-55;2020-02-16T03:00:40;overriding;154;33;2020-02-15T17:26:02;2020-02-16T14:13:01;false;2;2
3;hub;2020-02-16T10:00:49;withdrawal synergies Ville;144;79;2020-02-15T18:11:28;International Florida Operative;-68;40;2020-02-16T07:43:55;2020-02-16T13:22:24;false;3;1
4;Vermont;2020-02-15T16:29:12;District repurpose;-123;90;2020-02-16T09:57:07;overriding;146;34;2020-02-16T10:25:52;2020-02-16T07:45:06;true;4;2
5;foreground programming;2020-02-15T20:53:11;Grocery Auto Loan Account;-141;-9;2020-02-16T00:23:24;input Awesome Cotton Shirt;-107;39;2020-02-16T13:29:56;2020-02-16T02:06:31;false;5;2
6;Vermont Optimized;2020-02-16T13:18:27;Personal Loan Account Gorgeous;111;6;2020-02-16T15:41:03;quantifying PNG;147;26;2020-02-16T06:09:24;2020-02-15T17:54:05;false;6;1
7;Garden Handmade compress;2020-02-16T14:43:20;haptic Borders;52;37;2020-02-15T16:58:58;Syrian Pound Tasty;125;1;2020-02-16T01:49:31;2020-02-15T18:14:00;false;7;2
8;monitoring Program Shoes;2020-02-16T09:11:09;olive generate CSS;109;41;2020-02-16T08:55:12;Pennsylvania Officer;0;22;2020-02-16T03:22:32;2020-02-16T13:24:46;true;8;2
9;Quality-focused;2020-02-16T10:13:12;synthesize Games pixel;0;-48;2020-02-15T19:37:43;open system yellow;25;89;2020-02-15T16:42:20;2020-02-16T02:16:59;false;9;2
10;Antigua and Barbuda;2020-02-16T03:33:38;Vermont Home;-82;-71;2020-02-16T15:52:24;Pakistan Rupee;61;-90;2020-02-15T19:02:43;2020-02-16T06:47:01;false;10;2
