id;licence_plate;brand;model;quota;enabled;company_id;credential_id
1;SMS Program;24/7 Vision-oriented;24895;53226;true;1;2
2;backing up Garden Cr;Awesome Rubber Chick;81906;20440;true;2;1
3;Multi-tiered silver;Associate;66587;65759;true;3;1
4;Music Consultant max;Coves JSON Beauty;69043;69349;true;4;2
5;Texas Investment Acc;gold;95039;40809;true;5;1
6;SDD neural;navigating Pataca Ka;57109;18555;true;6;2
7;Human South Carolina;Unbranded Steel Chai;9945;15688;true;7;1
8;definition Future Ch;Practical Frozen Mou;19183;86603;false;8;1
9;attitude;concept Gorgeous Fre;9609;95575;true;9;2
10;communities;Colombian Peso Unida;75133;53579;false;10;2
